,Title,URL
0,イーロン・マスク「頭のFitbit」こと脳埋込みAIチップ「Link」...,https://japanese.engadget.com/elon-musk-v2-link-neuralink-034523163.html
1,Windows 10ユーザーの9割近くが更新せずに古いビルドを使い続け...,https://gigazine.net/news/20200829-windows-10-old-build/
2,Playストアからの削除警告について - Subway Tooter blog,http://subwaytooter.hatenadiary.jp/entry/2020/08/29/113948
3,Googleからの理不尽な主張によってMastodon向けクライアントが...,https://anond.hatelabo.jp/20200829191330
4,SNSから本性バレた　知能や性格、AI実験に懸念も　　:日本経済新聞,https://www.nikkei.com/article/DGXMZO63169460Y0A820C2MY1000/
5,コロナで大打撃を受けた宿泊業のエンジニアの逆境との闘い,https://www.slideshare.net/ssuser91c7c7/ss-238288526
6,効果検証入門から見直す 「データサイエンス」 - Speaker Deck,https://speakerdeck.com/housecat442/xiao-guo-jian-zheng-ru-men-karajian-zhi-su-detasaiensu
7,Flutterでそこそこ規模の大きいプロダクションアプリを作ったの...,https://hachibeechan.hateblo.jp/entry/super-scalable-flutter-architecture
8,PyCon JP 2020のTwitter実況システムをGKE上に作った話 - JX通...,https://tech.jxpress.net/entry/pyconjp2020-sns-feed-on-gke
9,Ubuntu←こいつがOSの天下取れなかった理由ｗｗｗｗｗｗ : PCパ...,http://blog.livedoor.jp/bluejay01-review/archives/57121304.html
10,NumPy/pandas使いのためのテスト自動化入門 / PyConJP2020 - Sp...,https://speakerdeck.com/komofr/pyconjp2020
11,[AWS GameDay] DevOpsエンジニアが全員退職した会社で新入社員...,https://dev.classmethod.jp/articles/aws-gameday-report-20200829/
12,FacebookザッカーバーグCEO、アップルが「革新や競争を阻害」と...,https://japanese.engadget.com/facebook-appstore-045002647.html
13,実現されつつあった「量子コンピュータ」は、放射線によって機...,https://nazology.net/archives/67684
14,これも動く、風変わりなOS〜Raspberry Pi で動く様々なOS一覧ま...,https://raspida.com/support-os-rspi-3
15,有線LANやKVM機能を備えた27型液晶「FlexScan EV2795」が発売 -...,https://akiba-pc.watch.impress.co.jp/docs/news/news/1273654.html
16,スマートホームハブ徹底比較（Node-red、Home Assistant、OpenH...,https://dream-soft.mydns.jp/blog/developper/smarthome/2020/08/1966/
17,最新Chromeはタブのグループ化、QRコード生成に加えてパフォー...,https://jp.techcrunch.com/2020/08/29/2020-08-25-google-chrome-update-brings-better-tab-management-qr-codes-plus-performance-improvements/
18,Google大学が教育業界をぶっこわす！！その費用とコース内容は...,https://www.englishpedia.jp/blog/googleuniv
19,サマーインターン生がアクセシビリティの改善に取り組んだお話 ...,https://developers.freee.co.jp/entry/a11y-intern-2020-ganariya
20,GitHub - beefsack/webify: Turn shell commands into web serv...,https://github.com/beefsack/webify
21,Apple、EpicのApp Storeアカウントを停止（Unreal Engineは無事...,https://www.itmedia.co.jp/news/articles/2008/29/news040.html
22,Starship: Cross-Shell Prompt,https://starship.rs/ja-jp/
23,⚛️ 🚀 React Component Patterns - DEV,https://dev.to/alexi_be3/react-component-patterns-49ho
24,GitHub - arwes/arwes: Futuristic Sci-Fi and Cyberpunk Graph...,https://github.com/arwes/arwes
25,Objective-Rust // -dealloc,https://belkadan.com/blog/2020/08/Objective-Rust/
26,Asynchronous HTMLRewriter for Cloudflare Workers,https://blog.cloudflare.com/asynchronous-htmlrewriter-for-cloudflare-workers/
27,#ginzarails にRuby on CIで発表した - くりにっき,https://sue445.hatenablog.com/entry/2020/08/28/221800
28,長体日記 - hitode909の日記,https://blog.sushi.money/entry/2020/08/29/203325
29,【山田祥平のRe:config.sys】Windows 95から25年 ～そして何が...,https://pc.watch.impress.co.jp/docs/column/config/1273456.html
30,XMLサイトマップでは正規URLだけを送信する | SEO検索エンジン...,https://www.searchengineoptimization.jp/xml-sitemap-files-must-only-include-canonical-urls
31,ASCII.jp：純正品しか使わなかった筆者が、ロジクールのmacOS向...,https://ascii.jp/elem/000/004/024/4024092/
32,動画の無音シーンを自動でカットしてくれるMac用アプリ「VSSR」...,https://applech2.com/archives/20200828-vssr-for-mac-silent-scene-trimmer.html
33,BERTを利用した日本語文書要約をやってみた - Retrieva TECH BLOG,https://tech.retrieva.jp/entry/2020/08/28/113000
34,Apple、EpicのApp Storeアカウントを抹消。Unreal Engineには影...,https://pc.watch.impress.co.jp/docs/news/1273743.html
35,イーロン・マスク氏が脳インターフェイスNeuralinkの技術をライ...,https://jp.techcrunch.com/2020/08/29/2020-08-28-elon-musk-demonstrates-neuralinks-tech-live-using-pigs-with-surgically-implanted-brain-monitoring-devices/
36,物書きが使うVS Code　〜画面構成〜 – R-style,https://rashita.net/blog/?p=30312
37,【やじうまミニレビュー】本体にディスプレイを搭載、電池残量...,https://pc.watch.impress.co.jp/docs/column/yajiuma-mini-review/1273452.html
38,純粋培養GraphQL / Pure GraphQL Architecture - Speaker Deck,https://speakerdeck.com/qsona/pure-graphql-architecture
39,Security-JAWS 第18回レポート #secjaws #secjaws18 #jawsug | ...,https://dev.classmethod.jp/articles/security-jaws-18-report/
40,コロナで大打撃を受けた宿泊業のエンジニアの逆境との闘い,https://www.slideshare.net/mobile/ssuser91c7c7/ss-238288526
41,Amazonがフィットネス用リストバンド「Halo」を発表、アプリと...,https://gigazine.net/news/20200828-amazon-halo-band-fitness/
42,GitHub - xxczaki/light-date: ⏰ Blazing fast & lightweight ...,https://github.com/xxczaki/light-date
43,"野球ではじめる機械学習 - 特徴量エンジニアリングとPython, R...",https://shinyorke.hatenablog.com/entry/baseball-and-ml-with-python
44,[AWS IoT] 既存の証明書だけでMQTT以外の各種AWSリソ−スにアク...,https://dev.classmethod.jp/articles/aws-iot-authorizing-direct-calls/
45,Windows 10の最新バグでSSDが死ぬかも | Ubergizmo JAPAN,https://jp.ubergizmo.com/2020/08/29/16030/
46,Apple、Epic Gamesの開発者アカウントを予告どおり削除。『フォ...,https://automaton-media.com/articles/newsjp/20200829-135246/
47,Windowsユーザーに贈るLinux超入門(55) インストール済みのLinu...,https://news.mynavi.jp/article/liunx_win-55/
48,Flutter を MVVM で実装する. この記事は Flutter Architecture...,https://medium.com/@wasabeef/flutter-%E3%82%92-mvvm-%E3%81%A7%E5%AE%9F%E8%A3%85%E3%81%99%E3%82%8B-861c5dbcc565
